datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,db17,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,97383.01,tpch,100
hudi,trino,db18,106.9; 15.4; 17.1; 40.6; 229.7; 233.9; 280.0|1; 1.1; 0.0,63021.58,tpch,100
hudi,trino,db16,30.0;15.0;15.0;11.0;128.0;33.0;106.0|,66836.08,tpch,100
hudi,trino,db17,89.7; 14.3; 37.2; 18.0; 244.6; 216.6; 280.0|,101707.36,tpch,100
hudi,trino,db5,97.9; 13.7; 20.1; 33.4; 292.5; 246.1; 280.0|,126803.59,tpch,100
hudi,trino,db1,20.8; 17.3; 14.0; 19.6; 34.6; 31.1; 200.0|1; 0.0; 0.0,29435.66,tpch,100
hudi,trino,db20,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,98041.51,tpch,100
hudi,trino,db3,20.0;18.0;16.0;18.0;32.0;32.0;200.0|,81133.97,tpch,100
hudi,trino,db2,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,124632.74,tpch,100
hudi,trino,db21,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,74028.40,tpch,100
hudi,trino,db13,114.8; 13.2; 40.0; 22.3; 224.8; 227.1; 280.0|,41219.79,tpch,100
hudi,trino,db15,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,63929.09,tpch,100
hudi,trino,db19,17.5; 15.7; 18.0; 20.6; 28.7; 30.3; 200.0|1; 0.0; 0.0,72492.50,tpch,100
hudi,trino,db14,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,62478.13,tpch,100
hudi,trino,db9,97.1; 13.7; 22.7; 33.2; 236.4; 267.2; 280.0|0; 0.0; 1.0,142716.97,tpch,100
hudi,trino,db21,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,99124.91,tpch,100
hudi,trino,db5,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,147923.87,tpch,100
hudi,trino,db4,20.6; 16.2; 18.3; 16.9; 32.7; 36.3; 200.0|1; 0.0; 0.0,142001.26,tpch,100
hudi,trino,db11,89.7; 14.3; 37.2; 18.0; 244.6; 216.6; 280.0|,50703.62,tpch,100
hudi,trino,db15,21.7; 19.0; 17.7; 18.9; 30.1; 32.2; 200.0|1; 0.0; 1.1,46660.98,tpch,100
hudi,trino,db8,20.6; 16.2; 18.3; 16.9; 32.7; 36.3; 200.0|1; 0.0; 0.0,155071.21,tpch,100
hudi,trino,db20,60.3; 18.6; 26.0; 16.3; 17.2; 114.5; 156.0|0; 0.0; 0.0,107933.46,tpch,100
hudi,trino,db9,21.7; 19.0; 17.7; 18.9; 30.1; 32.2; 200.0|1; 0.0; 1.1,171599.01,tpch,100
hudi,trino,db22,60.3; 18.6; 26.0; 16.3; 17.2; 114.5; 156.0|0; 0.0; 0.0,89932.14,tpch,100
hudi,trino,db11,20.8; 17.3; 14.0; 19.6; 34.6; 31.1; 200.0|1; 0.0; 0.0,55627.73,tpch,100
hudi,trino,db4,62.4; 18.0; 18.8; 30.5; 15.5; 117.5; 156.0|1; 0.0; 0.0,110221.34,tpch,100
hudi,trino,db11,17.5; 15.7; 18.0; 20.6; 28.7; 30.3; 200.0|1; 0.0; 0.0,55630.47,tpch,100
hudi,trino,db1,103.0;14.0;20.0;36.0;256.0;237.0;280.0|,40894.20,tpch,100
