datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,syn_q5,14.8;62.3;52.4;149.9|181.2;19.2;37.2,1741.03,ssb,100
delta,trino,syn_q5,106.0;15.0;47.8;133.5;113.5|140.3;90.7;262.1;230.1,1439.05,ssb,100
delta,trino,syn_q5,142.6;74.6;39.5;191.9;74.0|120.2;114.1;109.7,1821.70,ssb,100
delta,trino,syn_q5,163.4;148.6;111.9;194.9;81.9;114.9|177.4;214.3;23.3;76.1;93.9,2368.78,ssb,100
delta,trino,syn_q5,172.5;174.6;82.2;96.1|57.2;113.0;204.4;213.5;208.2,1398.25,ssb,100
delta,trino,syn_q5,125.7;42.5;148.5;41.0|88.3;278.4;209.6;73.7;104.0;232.8,1398.25,ssb,100
delta,trino,syn_q5,53.5;16.1;69.9;60.9|274.8;174.5;218.2;71.7,2409.04,ssb,100
delta,trino,syn_q5,85.2;183.8;97.2;60.3;56.9;116.7;59.9|270.4;125.8;73.6;299.3;157.8;36.4,1888.34,ssb,100
delta,trino,syn_q5,173.6;39.0;40.4;139.3|121.6;182.8;145.7,1302.94,ssb,100
delta,trino,syn_q5,194.5;173.5;12.2;146.9;139.5;112.0|232.9;108.7;95.1;55.9;10.9,1765.15,ssb,100
delta,trino,syn_q5,194.7;154.8;106.5;30.2;128.8;169.9|54.3;231.1;166.4;235.8,1305.31,ssb,100
delta,trino,syn_q5,184.5;123.8;102.8;31.3;79.0;197.2;163.3;55.5|264.6;284.6;34.8;150.9,1304.40,ssb,100
delta,trino,syn_q5,195.8;111.2;33.9;135.4|86.9;263.0;132.7;71.4,1612.93,ssb,100
delta,trino,syn_q5,153.5;141.1;145.5;85.8;137.6;80.9;180.9;95.8|75.2;108.0;180.6;76.7,844.92,ssb,100
delta,trino,syn_q5,11.4;144.5;21.2;22.8;16.0|30.5;79.0;204.0;72.1;48.4,894.04,ssb,100
delta,trino,syn_q6,57.2;174.4;40.3;72.2;119.8;69.4;155.0|298.8;145.4;264.9;154.2;36.1;124.0,2387.97,ssb,100
delta,trino,syn_q6,193.7;50.9;77.1;19.6;104.0;177.6;134.3|92.9;12.4;41.2;48.8;86.7;116.1,1185.88,ssb,100
delta,trino,syn_q6,79.5;86.1;118.4;47.0;115.1;24.0;105.8|249.3;190.7;187.2;47.3;38.0,1361.85,ssb,100
delta,trino,syn_q6,161.0;74.4;188.4;153.4;47.8;106.7|23.1;49.7;106.6,1914.62,ssb,100
delta,trino,syn_q6,108.7;38.3;179.7;36.6;187.0;70.5;84.7|182.2;157.1;157.8;152.1;173.2,1036.87,ssb,100
delta,trino,syn_q6,165.0;80.0;138.0;196.2;120.9;161.4;147.8|183.1;87.0;200.1,1605.93,ssb,100
delta,trino,syn_q6,119.8;147.1;120.9;42.4;129.5;127.7;169.8;38.1|19.2;285.0;41.9;15.5,2220.22,ssb,100
delta,trino,syn_q6,89.6;88.5;48.7;105.3;126.2;99.6|214.7;160.4;172.7,926.09,ssb,100
delta,trino,syn_q6,109.8;69.6;42.9;183.3;75.0;77.3;156.7|186.9;65.8;81.5;171.8;75.2,1585.43,ssb,100
delta,trino,syn_q6,156.5;143.9;141.1;102.9;101.2;116.5|93.5;176.3;167.5;269.8;124.4,1621.63,ssb,100
delta,trino,syn_q6,191.4;162.9;65.2;64.6;145.7;75.8|200.2;226.7;72.1;250.1;88.6;173.0,1896.50,ssb,100
delta,trino,syn_q6,36.1;127.0;121.5;56.1;137.3;110.9|25.2;129.9;218.0;39.2,1034.98,ssb,100
delta,trino,syn_q6,11.0;114.6;186.5;87.3;187.7|148.5;67.8;289.5;103.1;197.3;273.3,1009.37,ssb,100
delta,trino,syn_q6,133.9;54.1;150.4;171.6|274.8;60.8;265.9,1754.26,ssb,100
delta,trino,syn_q6,187.4;16.9;168.9;159.7;45.4|264.3;12.7;174.7;41.1;295.1,1639.78,ssb,100
delta,trino,syn_q7,110.7;88.5;175.5;38.6;198.5;75.1;197.6|51.5;260.1;62.3;33.4;106.5;296.1,2311.39,ssb,100
delta,trino,syn_q7,130.6;10.9;62.0;154.6;42.0;155.3|237.7;236.1;47.5;135.8;134.5;134.4,975.02,ssb,100
delta,trino,syn_q7,82.8;17.2;47.9;80.9;12.7;71.2;168.3|15.2;11.2;222.7;75.6,2126.37,ssb,100
delta,trino,syn_q7,69.3;29.5;105.6;68.2;22.4;18.7|142.2;160.9;162.0;135.8;209.2,1504.61,ssb,100
delta,trino,syn_q7,75.1;181.3;78.3;45.8;190.1|15.5;75.1;295.6;71.2;16.4;156.3,1117.41,ssb,100
delta,trino,syn_q7,79.7;133.6;17.1;176.5|233.7;190.7;182.2;23.9;41.4,1723.05,ssb,100
delta,trino,syn_q7,19.2;32.0;94.4;33.5|147.6;54.4;211.6;192.8;97.3,1592.31,ssb,100
delta,trino,syn_q7,135.9;61.3;125.1;36.1|158.4;189.1;92.0,1252.82,ssb,100
delta,trino,syn_q7,104.6;125.7;157.8;168.0|113.8;128.8;56.5;169.0,1531.74,ssb,100
delta,trino,syn_q7,140.8;101.3;54.6;12.4;26.9|252.2;204.0;53.3,1336.26,ssb,100
delta,trino,syn_q7,158.1;24.3;147.5;181.9|142.5;293.4;86.6;24.5,1551.96,ssb,100
delta,trino,syn_q7,176.1;171.9;78.4;138.6;90.9|37.5;229.9;23.3,1829.61,ssb,100
delta,trino,syn_q7,136.0;42.4;77.9;93.2;128.1|118.1;109.4;43.0,2413.96,ssb,100
delta,trino,syn_q7,192.8;61.6;83.3;171.6;162.0;133.3;161.4|48.4;220.7;294.7,1034.71,ssb,100
delta,trino,syn_q7,29.7;183.1;101.7;118.1;93.3|236.0;187.3;260.1;265.2;220.9;268.6,2844.47,ssb,100
delta,trino,syn_q8,177.6;62.8;129.4;165.8;49.5|53.0;199.5;20.6;257.6,1808.18,ssb,100
