datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,syn_q5,31.9;194.4;43.9;192.9|21.1;183.0;110.2;238.1;136.6,3339.37,ssb,100
hudi,trino,syn_q5,32.0;180.9;46.1;18.4;92.9;108.8;163.2;140.5|115.6;30.3;202.6;105.8,6972.53,ssb,100
hudi,trino,syn_q5,136.0;33.7;181.0;106.4;136.7;72.0|170.8;65.6;202.8;120.0;227.0,3983.84,ssb,100
hudi,trino,syn_q5,126.9;67.2;114.1;10.1;64.5|237.9;185.9;103.5;138.1;205.9;158.2,2912.41,ssb,100
hudi,trino,syn_q5,135.2;63.9;136.1;127.7;27.7|205.1;75.1;67.7;17.1,5119.51,ssb,100
hudi,trino,syn_q5,196.9;126.1;156.0;96.5;178.4|218.3;121.4;125.9;52.8,2773.31,ssb,100
hudi,trino,syn_q5,179.6;173.5;178.2;157.9|61.0;287.8;160.2;24.6,4258.66,ssb,100
hudi,trino,syn_q5,184.3;33.1;35.3;98.3;110.9|285.5;268.5;187.7;218.6;156.4,2221.97,ssb,100
hudi,trino,syn_q5,94.7;40.2;173.7;95.5;152.8;169.6;62.7;157.8|191.8;89.6;32.5;92.9;88.8;102.7,2685.42,ssb,100
hudi,trino,syn_q5,25.3;38.7;82.8;39.0;50.7;88.8;72.9;98.5|70.0;131.8;272.4,4243.35,ssb,100
hudi,trino,syn_q5,189.8;13.7;177.3;119.4;100.6;189.1;66.7;84.1|166.1;223.0;242.0;270.4;151.6;89.2,4991.99,ssb,100
hudi,trino,syn_q5,15.5;73.9;139.0;86.8;41.4;98.8;34.2|273.0;181.6;202.3,4211.02,ssb,100
hudi,trino,syn_q5,132.1;35.8;97.7;19.6|104.9;141.9;107.9;265.1;90.7;285.8,3863.60,ssb,100
hudi,trino,syn_q5,57.9;25.6;13.7;112.5;200.0;76.5;133.5|228.7;285.4;67.8,3654.51,ssb,100
hudi,trino,syn_q5,128.1;55.3;100.0;31.7|144.9;84.3;117.0;185.7,2567.00,ssb,100
hudi,trino,syn_q6,72.7;25.0;95.5;80.5;111.8|24.9;119.4;185.4;21.5,4527.31,ssb,100
