datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,q4_1,18;256;20;18;16;16,54908.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,6321.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,15549.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9712.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,12600.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,5480.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,56852.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,52809.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,67247.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,61909.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,57104.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,34283.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,36007.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,54908.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,6321.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,15549.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9712.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,12600.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,5480.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,56852.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,52809.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,67247.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,61909.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,57104.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,34283.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,36007.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,54908.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,6321.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,15549.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,10408.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,11958.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,8172.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,57063.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,51620.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,86806.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,79492.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,56340.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,86718.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,9818.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,74974.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,31954.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,31275.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,10408.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,11958.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,8172.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,57063.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,51620.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,86806.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,79492.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,56340.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,86718.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,9818.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,74974.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,31954.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,31275.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,10408.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,11958.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,8172.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,57063.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,51620.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,86806.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,79492.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,56340.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,86718.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,9818.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,74974.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,31954.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,31275.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,31881.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,44602.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,24308.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,56860.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,44772.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,46568.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,41593.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,83221.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,64978.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,16650.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,79109.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,22353.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,41799.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,31881.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,44602.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,24308.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,56860.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,44772.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,46568.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,41593.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,83221.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,64978.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,16650.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,79109.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,22353.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,41799.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,31881.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,44602.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,24308.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,56860.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,44772.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,46568.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,41593.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,83221.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,64978.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,16650.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,79109.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,22353.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,41799.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9494.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,6481.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,5849.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,78694.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,53211.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,65613.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,54842.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,75741.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,59345.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,10970.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,56768.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,20844.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,18519.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9494.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,6481.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,5849.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,78694.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,53211.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,65613.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,54842.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,75741.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,59345.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,10970.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,56768.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,20844.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,18519.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9494.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,6481.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,5849.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,78694.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,53211.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,65613.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,54842.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,75741.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,59345.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,10970.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,56768.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,20844.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,18519.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,19258.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,40893.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,34532.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,91264.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,56560.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,39945.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,39009.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,48684.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,45093.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,32801.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,93522.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,22424.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,21828.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,19258.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,40893.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,34532.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,91264.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,56560.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,39945.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,39009.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,48684.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,45093.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,32801.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,93522.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,22424.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,21828.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,19258.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,40893.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,34532.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,91264.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,56560.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,39945.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,39009.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,48684.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,45093.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,32801.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,93522.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,22424.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,21828.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,8920.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,10856.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,7760.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,98119.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,52134.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,44409.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,54012.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,62794.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,46716.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,10160.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,48465.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,10871.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,10315.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,8920.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,10856.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,7760.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,98119.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,52134.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,44409.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,54012.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,62794.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,46716.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,10160.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,48465.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,10871.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,10315.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,8920.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,10856.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,7760.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,98119.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,52134.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,44409.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,54012.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,62794.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,46716.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,10160.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,48465.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,10871.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,10315.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9586.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,11806.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,9577.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,40056.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,40895.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,37311.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,40537.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,70213.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,75729.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,25774.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,114821.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,39810.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,36959.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9586.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,11806.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,9577.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,40056.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,40895.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,37311.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,40537.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,70213.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,75729.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,25774.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,114821.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,39810.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,36959.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,9586.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,11806.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,9577.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,40056.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,40895.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,37311.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,40537.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,70213.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,75729.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,25774.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,114821.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,39810.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,36959.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,13970.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,16400.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,10584.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,113409.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,136836.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,116144.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,67529.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,61800.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,53599.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,14828.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,172938.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,69238.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,62889.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,13970.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,16400.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,10584.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,113409.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,136836.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,116144.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,67529.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,61800.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,53599.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,14828.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,172938.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,69238.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,62889.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,13970.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,16400.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,10584.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,113409.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,136836.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,116144.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,67529.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,61800.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,53599.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,14828.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,172938.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,69238.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,62889.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,11277.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,47600.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,31242.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,117757.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,100991.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,68716.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,53315.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,49878.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,44790.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,14840.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,133957.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,43646.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,34132.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,11277.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,47600.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,31242.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,117757.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,100991.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,68716.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,53315.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,49878.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,44790.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,14840.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,133957.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,43646.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,34132.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,11277.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,47600.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,31242.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,117757.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,100991.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,68716.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,53315.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,49878.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,44790.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,14840.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,133957.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,43646.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,34132.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,8133.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,22261.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,31167.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,169326.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,116597.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,69298.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,51066.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,50261.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,48403.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,11370.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,60259.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,20492.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,14535.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,8133.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,22261.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,31167.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,169326.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,116597.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,69298.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,51066.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,50261.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,48403.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,11370.0,ssb-flat,100
delta,trino,q4_1,18;256;20;18;16;16,60259.0,ssb-flat,100
delta,trino,q4_2,18;256;20;18;16;16,20492.0,ssb-flat,100
delta,trino,q4_3,18;256;20;18;16;16,14535.0,ssb-flat,100
delta,trino,q1_1,18;256;20;18;16;16,8133.0,ssb-flat,100
delta,trino,q1_2,18;256;20;18;16;16,22261.0,ssb-flat,100
delta,trino,q1_3,18;256;20;18;16;16,31167.0,ssb-flat,100
delta,trino,q2_1,18;256;20;18;16;16,169326.0,ssb-flat,100
delta,trino,q2_2,18;256;20;18;16;16,116597.0,ssb-flat,100
delta,trino,q2_3,18;256;20;18;16;16,69298.0,ssb-flat,100
delta,trino,q3_1,18;256;20;18;16;16,51066.0,ssb-flat,100
delta,trino,q3_2,18;256;20;18;16;16,50261.0,ssb-flat,100
delta,trino,q3_3,18;256;20;18;16;16,48403.0,ssb-flat,100
delta,trino,q3_4,18;256;20;18;16;16,11370.0,ssb-flat,100
